2026-03-16 08:12:08,610 INFO    MainThread:361342 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-16 08:12:08,611 INFO    MainThread:361342 [wandb_setup.py:_flush():81] Configure stats pid to 361342
2026-03-16 08:12:08,611 INFO    MainThread:361342 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-16 08:12:08,611 INFO    MainThread:361342 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/jgibson2/projects/MobileFCMVitv3/wandb/run-20260316_081208-ahy2yh1n/logs/debug.log
2026-03-16 08:12:08,611 INFO    MainThread:361342 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/jgibson2/projects/MobileFCMVitv3/wandb/run-20260316_081208-ahy2yh1n/logs/debug-internal.log
2026-03-16 08:12:08,611 INFO    MainThread:361342 [wandb_init.py:init():844] calling init triggers
2026-03-16 08:12:08,611 INFO    MainThread:361342 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-16 08:12:08,611 INFO    MainThread:361342 [wandb_init.py:init():892] starting backend
2026-03-16 08:12:09,095 INFO    MainThread:361342 [wandb_init.py:init():895] sending inform_init request
2026-03-16 08:12:09,102 INFO    MainThread:361342 [wandb_init.py:init():903] backend started and connected
2026-03-16 08:12:09,103 INFO    MainThread:361342 [wandb_init.py:init():973] updated telemetry
2026-03-16 08:12:09,112 INFO    MainThread:361342 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-16 08:12:09,622 INFO    MainThread:361342 [wandb_init.py:init():1042] starting run threads in backend
2026-03-16 08:12:09,786 INFO    MainThread:361342 [wandb_run.py:_console_start():2524] atexit reg
2026-03-16 08:12:09,786 INFO    MainThread:361342 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-16 08:12:09,786 INFO    MainThread:361342 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-16 08:12:09,786 INFO    MainThread:361342 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-16 08:12:09,791 INFO    MainThread:361342 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-16 08:12:11,832 INFO    wandb-AsyncioManager-main:361342 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-16 08:12:11,832 INFO    wandb-AsyncioManager-main:361342 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
